Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mcsp,Randomise questionnaire elements?,Question Key,Response
3,1678394175960,09/03/2023 20:36:15,1678394173262,-5,09/03/2023 15:36:13,80062,4,questionnaire-nvwz,,27995252,xxztzzs6,8314237,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1349x657,,,,Consent form,3,"YES=left arrow,",No,END QUESTIONNAIRE,13689
1,1679460501921,22/03/2023 04:48:21,1679460501780,-6,21/03/2023 22:48:21,80062,4,questionnaire-nvwz,,28321218,2p8ctus2,8412976,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 103.0.0.0,1280x800,1280x721,,,,Consent form,3,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1679460563162,22/03/2023 04:49:23,1679460563047,-6,21/03/2023 22:49:23,80062,4,questionnaire-nvwz,,28321218,2p8ctus2,8412976,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 103.0.0.0,1280x800,1280x721,,,,Consent form,3,"YES=left arrow,",No,consent,1
3,1679460563345,22/03/2023 04:49:23,1679460563049,-6,21/03/2023 22:49:23,80062,4,questionnaire-nvwz,,28321218,2p8ctus2,8412976,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 103.0.0.0,1280x800,1280x721,,,,Consent form,3,"YES=left arrow,",No,END QUESTIONNAIRE,61269
1,1684492612269,19/05/2023 10:36:52,1684492613577,1,19/05/2023 11:36:53,80062,4,questionnaire-nvwz,,29608873,pyggqe1y,8805143,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x754,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1684492724326,19/05/2023 10:38:44,1684492725665,1,19/05/2023 11:38:45,80062,4,questionnaire-nvwz,,29608873,pyggqe1y,8805143,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1519x754,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1684492724376,19/05/2023 10:38:44,1684492725666,1,19/05/2023 11:38:45,80062,4,questionnaire-nvwz,,29608873,pyggqe1y,8805143,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1519x754,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,112089
1,1684501095931,19/05/2023 12:58:15,1684501093573,1,19/05/2023 13:58:13,80062,4,questionnaire-nvwz,,29618271,d8skyd4a,8806345,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x969,,,,Consent form,3,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1684501102423,19/05/2023 12:58:22,1684501100090,1,19/05/2023 13:58:20,80062,4,questionnaire-nvwz,,29618271,d8skyd4a,8806345,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1903x969,,,,Consent form,3,"YES=left arrow,",No,consent,1
3,1684501102508,19/05/2023 12:58:22,1684501100091,1,19/05/2023 13:58:20,80062,4,questionnaire-nvwz,,29618271,d8skyd4a,8806345,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1903x969,,,,Consent form,3,"YES=left arrow,",No,END QUESTIONNAIRE,6518
1,1684510700515,19/05/2023 15:38:20,1684510700201,-6,19/05/2023 09:38:20,80062,4,questionnaire-nvwz,,29622243,facy3gnw,8807428,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1512x982,1512x834,,,,Consent form,3,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1684510717494,19/05/2023 15:38:37,1684510717306,-6,19/05/2023 09:38:37,80062,4,questionnaire-nvwz,,29622243,facy3gnw,8807428,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1512x982,1512x834,,,,Consent form,3,"YES=left arrow,",No,consent,1
3,1684510717682,19/05/2023 15:38:37,1684510717308,-6,19/05/2023 09:38:37,80062,4,questionnaire-nvwz,,29622243,facy3gnw,8807428,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1512x982,1512x834,,,,Consent form,3,"YES=left arrow,",No,END QUESTIONNAIRE,17107
1,1650023171902,15/04/2022 11:46:11,1650023171693,4,15/04/2022 15:46:11,80062,4,questionnaire-nvwz,,21321702,c02szjxp,6308424,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 100.0.4896.88,1920x1080,1920x943,,,,Consent form,3,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1650023181496,15/04/2022 11:46:21,1650023181239,4,15/04/2022 15:46:21,80062,4,questionnaire-nvwz,,21321702,c02szjxp,6308424,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 100.0.4896.88,1920x1080,1905x943,,,,Consent form,3,"YES=left arrow,",No,consent,1
3,1650023181778,15/04/2022 11:46:21,1650023181244,4,15/04/2022 15:46:21,80062,4,questionnaire-nvwz,,21321702,c02szjxp,6308424,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 100.0.4896.88,1920x1080,1905x943,,,,Consent form,3,"YES=left arrow,",No,END QUESTIONNAIRE,9551
1,1653055933518,20/05/2022 14:12:13,1653055933653,1,20/05/2022 15:12:13,80062,4,questionnaire-nvwz,,22010571,31w3jf6g,6495949,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1366x643,,,,Consent form,3,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1653055991810,20/05/2022 14:13:11,1653055991934,1,20/05/2022 15:13:11,80062,4,questionnaire-nvwz,,22010571,31w3jf6g,6495949,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1349x643,,,,Consent form,3,"YES=left arrow,",No,consent,1
3,1653055992003,20/05/2022 14:13:12,1653055991936,1,20/05/2022 15:13:11,80062,4,questionnaire-nvwz,,22010571,31w3jf6g,6495949,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1349x643,,,,Consent form,3,"YES=left arrow,",No,END QUESTIONNAIRE,58283
1,1653166408509,21/05/2022 20:53:28,1653166406834,1,21/05/2022 21:53:26,80062,4,questionnaire-nvwz,,22028090,5a9u3lvk,6499483,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.64,1366x768,1366x657,,,,Consent form,3,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
