Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mcsp,Randomise questionnaire elements?,Question Key,Response
2,1673536801092,12/01/2023 15:20:01,1673536800984,1,12/01/2023 16:20:00,80062,4,questionnaire-99dv,,26346543,t3iun84y,7777550,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1920x1080,1905x1001,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,
3,1673536801177,12/01/2023 15:20:01,1673536800989,1,12/01/2023 16:20:00,80062,4,questionnaire-99dv,,26346543,t3iun84y,7777550,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1920x1080,1905x1001,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,14598
1,1675103799245,30/01/2023 18:36:39,1675103805276,0,30/01/2023 18:36:45,80062,4,questionnaire-99dv,,26787274,warzddcf,7951390,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 109.0,1920x1080,1920x927,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1675103846389,30/01/2023 18:37:26,1675103852496,0,30/01/2023 18:37:32,80062,4,questionnaire-99dv,,26787274,warzddcf,7951390,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 109.0,1920x1080,1903x927,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,comment,
3,1675103846461,30/01/2023 18:37:26,1675103852500,0,30/01/2023 18:37:32,80062,4,questionnaire-99dv,,26787274,warzddcf,7951390,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 109.0,1920x1080,1903x927,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,END QUESTIONNAIRE,47224
1,1676518027434,16/02/2023 03:27:07,1676518025885,-6,15/02/2023 21:27:05,80062,4,questionnaire-99dv,,27247798,8eaoljgj,8097914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1536x864,1536x731,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1676518052706,16/02/2023 03:27:32,1676518051185,-6,15/02/2023 21:27:31,80062,4,questionnaire-99dv,,27247798,8eaoljgj,8097914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1536x864,1519x731,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,comment,
3,1676518052859,16/02/2023 03:27:32,1676518051186,-6,15/02/2023 21:27:31,80062,4,questionnaire-99dv,,27247798,8eaoljgj,8097914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1536x864,1519x731,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,END QUESTIONNAIRE,25301
1,1678395593781,09/03/2023 20:59:53,1678395591343,-5,09/03/2023 15:59:51,80062,4,questionnaire-99dv,,27995805,xxztzzs6,8314237,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1678395613905,09/03/2023 21:00:13,1678395611389,-5,09/03/2023 16:00:11,80062,4,questionnaire-99dv,,27995805,xxztzzs6,8314237,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1349x657,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,comment,awesome
3,1678395614049,09/03/2023 21:00:14,1678395611390,-5,09/03/2023 16:00:11,80062,4,questionnaire-99dv,,27995805,xxztzzs6,8314237,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1349x657,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,END QUESTIONNAIRE,20047
