Participant,RT,ACC,Condition,Item.no,yesButton,Source,Prefix
5976580,1081.2000000476835,1,CatViol,14,left,Prolific,proti
5976580,730.7999999523163,0,Gramm,182,left,Prolific,proti
5976580,863,1,CatViol,55,left,Prolific,duh
5976580,463.2999999523163,0,SemViol,287,left,Prolific,duh
5976580,751.1000001430511,1,SemViol,299,left,Prolific,duh
5976580,844,0,CatViol,71,left,Prolific,duh
5976580,650.5,0,SemViol,235,left,Prolific,proti
5976580,588.4000000953674,1,SemViol,236,left,Prolific,proti
5976580,477.39999985694885,1,SemViol,261,left,Prolific,proti
5976580,516.7000000476837,0,CatViol,59,left,Prolific,duh
5976580,753.8999998569489,0,SemViol,286,left,Prolific,proti
5976580,494.2999999523163,1,Gramm,169,left,Prolific,duh
5976580,326.7000000476837,0,SemViol,242,left,Prolific,proti
5976580,704.8999998569489,0,CatViol,48,left,Prolific,proti
5976580,617.3999998569489,1,Gramm,218,left,Prolific,proti
5976580,648.2999999523163,1,CatViol,41,left,Prolific,duh
5976580,786.2000000476837,1,Gramm,188,left,Prolific,proti
5976580,792.6999998092651,0,CatViol,46,left,Prolific,proti
5976580,935,1,CatViol,35,left,Prolific,duh
5976580,984.2000000476836,0,SemViol,267,left,Prolific,duh
5976580,1092.5,0,SemViol,273,left,Prolific,duh
5976580,875.4000000953674,1,Gramm,207,left,Prolific,proti
5976580,504,1,Gramm,185,left,Prolific,proti
5976580,691,0,CatViol,11,left,Prolific,proti
5976580,477.7999999523163,0,CatViol,62,left,Prolific,duh
5976580,601.8999998569489,0,SemViol,285,left,Prolific,proti
5976580,424.60000014305115,1,Gramm,189,left,Prolific,duh
5976580,546.1000001430511,0,SemViol,238,left,Prolific,proti
5976580,546.3999998569489,0,CatViol,17,left,Prolific,duh
5976580,436.09999990463257,0,SemViol,275,left,Prolific,proti
5976580,463.60000014305115,0,CatViol,61,left,Prolific,proti
5976580,527.5999999046326,0,SemViol,254,left,Prolific,proti
5976580,380.2000000476837,0,SemViol,283,left,Prolific,proti
5976580,479.89999985694885,0,SemViol,246,left,Prolific,proti
5976580,623.1999998092651,0,CatViol,20,left,Prolific,proti
5976580,493.5,0,CatViol,9,left,Prolific,duh
5976580,759.2000000476837,1,CatViol,44,left,Prolific,proti
5976580,766.4000000953674,0,Gramm,227,left,Prolific,duh
5976580,867.5999999046326,1,SemViol,241,left,Prolific,proti
5976580,910.9000000953674,0,CatViol,30,left,Prolific,duh
5976580,698.6000001430511,0,SemViol,240,left,Prolific,proti
5976580,482.80000019073486,0,SemViol,280,left,Prolific,proti
5976580,495.2999999523163,1,Gramm,190,left,Prolific,proti
5976580,377.09999990463257,0,CatViol,67,left,Prolific,duh
5976580,373.09999990463257,0,CatViol,75,left,Prolific,duh
5976580,414.7999999523163,0,SemViol,255,left,Prolific,duh
5976580,521.7000000476837,0,CatViol,13,left,Prolific,duh
5976580,360.40000009536743,1,Gramm,204,left,Prolific,duh
5976580,396.7000000476837,1,Gramm,176,left,Prolific,proti
5976580,459.90000009536743,0,SemViol,251,left,Prolific,duh
5976580,438.2000000476837,0,SemViol,264,left,Prolific,proti
5976580,424.5,1,Gramm,222,left,Prolific,proti
5976580,437.5,0,CatViol,50,left,Prolific,duh
5976580,518.0999999046326,1,Gramm,198,left,Prolific,proti
5976580,342.89999985694885,0,CatViol,63,left,Prolific,proti
5976580,501.10000014305115,1,Gramm,201,left,Prolific,duh
5976580,429.7999999523163,1,Gramm,203,left,Prolific,duh
5976580,444,1,Gramm,171,left,Prolific,proti
5976580,356.7000000476837,0,CatViol,69,left,Prolific,proti
5976580,469.39999985694885,0,SemViol,259,left,Prolific,duh
5976580,308.80000019073486,0,CatViol,65,left,Prolific,duh
5976580,395.2000000476837,0,CatViol,64,left,Prolific,proti
5976580,326.5,0,CatViol,37,left,Prolific,proti
5976580,407.59999990463257,0,CatViol,3,left,Prolific,duh
5976580,473.59999990463257,1,Gramm,202,left,Prolific,duh
5976580,465.40000009536743,1,Gramm,175,left,Prolific,duh
5976580,319.10000014305115,0,SemViol,277,left,Prolific,duh
5976580,431.09999990463257,0,SemViol,243,left,Prolific,proti
5976580,378.2999999523163,0,CatViol,58,left,Prolific,duh
5976580,387.90000009536743,0,CatViol,27,left,Prolific,proti
5976580,390.7000000476837,0,SemViol,303,left,Prolific,duh
5976580,330.60000014305115,0,CatViol,57,left,Prolific,proti
5976580,438.59999990463257,0,CatViol,22,left,Prolific,proti
5976580,289.2000000476837,0,CatViol,31,left,Prolific,proti
5976580,344.09999990463257,0,CatViol,1,left,Prolific,proti
5976580,388.59999990463257,0,SemViol,289,left,Prolific,proti
5976580,507.7999999523163,0,CatViol,4,left,Prolific,proti
5976580,608.8000001907349,0,SemViol,268,left,Prolific,duh
5976580,656.7000000476837,1,Gramm,228,left,Prolific,proti
5976580,515.5,0,CatViol,19,left,Prolific,proti
5976580,496.69999980926514,0,CatViol,73,left,Prolific,duh
5976580,623,1,CatViol,40,left,Prolific,proti
5976580,457.89999985694885,1,Gramm,224,left,Prolific,proti
5976580,545.9000000953674,0,CatViol,72,left,Prolific,proti
5976580,415.2000000476837,1,Gramm,174,left,Prolific,duh
6041906,802.8000000119209,0,CatViol,24,right,Prolific,proti
6041906,1280.5999999642372,1,CatViol,39,right,Prolific,proti
6041906,933.6999999880792,0,CatViol,12,right,Prolific,duh
6041906,1172.5,0,CatViol,76,right,Prolific,proti
6041906,853.5,0,CatViol,64,right,Prolific,proti
6041906,838,0,CatViol,13,right,Prolific,duh
6041906,1553.5,0,SemViol,296,right,Prolific,duh
6041906,1366.600000023842,1,Gramm,227,right,Prolific,duh
6041906,1240.5999999642372,0,CatViol,29,right,Prolific,duh
6041906,1168,1,Gramm,187,right,Prolific,proti
6041906,874.6000000238419,0,CatViol,44,right,Prolific,proti
6041906,1064.100000023842,1,SemViol,276,right,Prolific,duh
6041906,1110.699999988079,0,SemViol,262,right,Prolific,duh
6041906,690.3000000119209,0,SemViol,290,right,Prolific,duh
6041906,1037.9000000357628,0,CatViol,45,right,Prolific,duh
6041906,969.8000000119208,0,CatViol,28,right,Prolific,duh
6041906,679.4000000357628,0,SemViol,300,right,Prolific,duh
6041906,881.5,0,CatViol,36,right,Prolific,proti
6041906,1000,0,CatViol,4,right,Prolific,proti
6041906,1016.9000000357628,0,SemViol,261,right,Prolific,proti
6041906,1060.5,0,SemViol,251,right,Prolific,duh
6041906,784.2000000476837,0,SemViol,297,right,Prolific,duh
6041906,1416.899999976158,1,SemViol,260,right,Prolific,proti
6041906,1264.5,0,SemViol,294,right,Prolific,duh
6041906,1754.5999999642372,0,SemViol,247,right,Prolific,proti
6041906,1029.600000023842,0,SemViol,298,right,Prolific,proti
6041906,1395,0,CatViol,48,right,Prolific,proti
6041906,1129.300000011921,0,SemViol,275,right,Prolific,proti
6041906,1225.100000023842,0,CatViol,8,right,Prolific,duh
6041906,870.7999999523163,0,SemViol,285,right,Prolific,proti
6041906,1081,0,SemViol,299,right,Prolific,duh
6041906,921.399999976158,0,SemViol,264,right,Prolific,proti
6041906,582.8000000119209,1,Gramm,176,right,Prolific,proti
6041906,1171.899999976158,0,CatViol,71,right,Prolific,duh
6041906,748.3000000119209,1,Gramm,222,right,Prolific,proti
6041906,708,0,SemViol,280,right,Prolific,proti
6041906,1063.399999976158,0,SemViol,277,right,Prolific,duh
6041906,707.8000000119209,1,Gramm,209,right,Prolific,duh
6041906,801.1999999880791,0,CatViol,6,right,Prolific,proti
6041906,835,1,Gramm,205,right,Prolific,proti
6041906,891,0,SemViol,258,right,Prolific,proti
6041906,1222.0999999642372,1,Gramm,214,right,Prolific,duh
6041906,1277,0,SemViol,236,right,Prolific,proti
6041906,1392.5,0,SemViol,303,right,Prolific,duh
6041906,1030.4000000357628,1,CatViol,14,right,Prolific,proti
6041906,987.600000023842,1,Gramm,212,right,Prolific,duh
6041906,931.2999999523164,0,CatViol,40,right,Prolific,proti
6041906,730.1999999880791,1,Gramm,215,right,Prolific,proti
6041906,1081.199999988079,1,Gramm,180,right,Prolific,proti
6041906,1146.100000023842,0,Gramm,186,right,Prolific,duh
6041906,938.3000000119208,0,SemViol,253,right,Prolific,duh
6041906,1510.399999976158,0,SemViol,302,right,Prolific,duh
6041906,1281.5,0,SemViol,282,right,Prolific,duh
6041906,930.899999976158,0,SemViol,293,right,Prolific,proti
6041906,752.8000000119209,0,CatViol,57,right,Prolific,proti
6041906,673.8000000119209,0,CatViol,17,right,Prolific,duh
6041906,782.8000000119209,0,SemViol,287,right,Prolific,duh
6041906,846,1,Gramm,178,right,Prolific,duh
6041906,1234.300000011921,0,CatViol,46,right,Prolific,proti
6041906,753.8000000119209,1,Gramm,181,right,Prolific,duh
6041906,722.1999999880791,0,SemViol,271,right,Prolific,duh
6041906,1396.7000000476835,1,SemViol,243,right,Prolific,proti
6041906,707.2000000476837,1,Gramm,199,right,Prolific,proti
