ItemNo,Condition,ITEMNO,length,noise,stim,width,height,blackPx,luminance,Word,WordPhonetic,WordLenPhonemic,WordLenPhonetic,WordLength,WordLenUnicode,WordLenXlsx,Stem,CatViolPOS,SpellingStem,CRating,stemFreq_old,log_stemFreq_old,stemFreq_new,log_stemFreq_new,Types,Exclude,wordFreq_old,log_wordFreq_old,TP_old,log_TP_old,WLp_O,WLc_O,WLa_O,Luminance_O,Width_O,complexity
G24,Gramm,G24,9,a,প্রতিপালন,556,158,20546,121.5628048,প্রতিপালন,prot̪ipalon,10,12,5,9,9,পালন,,,2.233333333,294.2941365,2.46878160932672,250.15,2.39820050721943,1217,NA,0.1,-1,0.000339796100558735,-3.46878160932672,0.0682772826733903,-0.0660492325821932,0.0187623762315997,-0.0642592316209064,-0.00670369903414062,59.7897737238941
C12,CatViol,C12,9,a,দুর্মুখ্য,311,200,13146,126.4839072,দুর্মুখ্য,d̪urmurkʰo,8,11,3,9,9,মুখ্য,Adj,,NA,286.8219477,2.4576123806091,306.899,2.48699547332857,1173,NA,0.1,-1,0.000348648354151038,-3.4576123806091,0.0546218261387122,0.0544459514723002,-0.0784435395907539,0.0470096055783658,-0.0657339941682624,41.1097968623015
G25,Gramm,G25,7,a,দুর্গতি,324,200,13619,129.3966832,দুর্গতি,d̪urgot̪i,7,10,3,7,7,গতি,,,2.133333333,286.636721,2.45733182704561,272.305,2.43505561582573,4015,NA,0.1,-1,0.000348873653212074,-3.45733182704561,0.0477940978713732,-0.00451238709829112,-0.0336145056678869,0.111576973885415,-0.0222743699492104,43.1238596712168
G26,Gramm,G26,8,a,প্রতিরুপ,425,200,17369,124.740695,প্রতিরুপ,prot̪irup,8,10,4,8,8,রুপ,,রূপ,2.133333333,283.0408401,2.45184910460696,263.228,2.42033208402519,6389,NA,0.1,-1,0.000353305904422377,-3.45184910460696,0.0546218261387122,-0.00515701382661901,0.0150956959532413,0.0163101299705684,-0.0370595779081136,52.7555757846884
S07,SemViol,S07,9,a,প্রতিরক্ত,459,158,17858,127.0831902,প্রতিরক্ত,prot̪irɔkt̪o,10,13,4,9,9,রক্ত,,,5.833333333,278.7795919,2.44526097799978,278.78,2.44526161375453,4058,NA,0.1,-1,0.000358706314613842,-3.44526097799978,0.0682772826733903,-0.0660492325821932,-0.0748841030223473,0.0114497250701756,0.00389851648612475,53.1518218714666
F11,Filler,F11,7,a,গাছপালা,490,158,16095,128.5304129,গাছপালা,gacʰpala,7,8,4,7,7,গাছ,,,NA,272.8813125,2.43597379526674,281.068,2.44881140336442,5021,NA,0.1,-1,0.000366459685655462,-3.43597379526674,0.0477940978713732,-0.00451238709829112,0.0600319735860601,0.0516895153959478,0.0509348704989367,47.7186853364587
C13,CatViol,C13,8,a,দুর্বাসি,347,200,14266,126.8659441,দুর্বাসি,d̪urbaʃi,8,8,3,8,8,বাসি,Adj,,NA,271.6675086,2.43403769995811,236.351,2.37355744414079,3203,NA,0.1,-1,0.000368097018724601,-3.43403769995811,0.0546218261387122,-0.00515701382661901,-0.0785507833007058,0.0804774419643187,-0.00447589491176922,42.7694659897665
G27,Gramm,G27,8,a,প্রতিঘাত,482,158,18692,126.901847,প্রতিঘাত,prot̪igʱat̪,8,12,4,8,8,ঘাত,,,2.7,265.2642537,2.42367872956467,249.348,2.39680588912768,3205,NA,0.1,-1,0.000376982569664644,-3.42367872956467,0.0546218261387122,-0.00515701382661901,0.0150956959532413,0.0236568890744451,0.0317810493795107,54.9092860134454
G28,Gramm,G28,10,a,প্রতিবর্তন,533,158,20962,127.8657638,প্রতিবর্তন,prot̪ibɔrt̪on,11,14,5,10,10,বর্তন,,,3.4,265.108001,2.42342283500474,281.014,2.44872795681358,1790,NA,0.1,-1,0.000377204760410079,-3.42342283500474,0.0751050109407293,-0.0666938593105196,-0.0261739014012191,-0.0653289220791763,-0.0419795078821983,60.8213797989561
G29,Gramm,G29,7,a,দুর্মতি,324,200,14110,128.5148472,দুর্মতি,d̪urmot̪i,7,10,3,7,7,মতি,,,2.933333333,260.1089505,2.41515529677826,241.901,2.38363766370534,3512,NA,0.1,-1,0.000384454282744876,-3.41515529677826,0.0477940978713732,-0.00451238709829112,-0.0336145056678869,0.108579203871494,-0.0224812287956364,42.3928316088123
C14,CatViol,C14,11,a,প্রতিবাস্তব,557,158,21586,126.6703248,প্রতিবাস্তব,prot̪ibast̪ob,11,13,5,11,11,বাস্তব,Adj,,NA,259.2469738,2.4137136955543,254.062,2.40493971257323,1585,NA,0.1,-1,0.000385732564335145,-3.4137136955543,0.0751050109407293,-0.00709089401160041,-0.0260666576912672,-0.101561889878046,-0.0314982342536795,62.1218364892779
G30,Gramm,G30,10,a,প্রতিবিধান,594,158,23492,123.0419997,প্রতিবিধান,prot̪ibid̪ʱan,10,14,5,10,10,বিধান,,,2.1,252.2373343,2.40180936804385,274.939,2.43923634873197,1731,NA,0.1,-1,0.000396452017214329,-3.40180936804385,0.0682772826733903,-0.00644626728327395,0.0188696199415516,-0.0913998769203115,0.0211886917721594,68.1794071645064
G31,Gramm,G31,10,a,প্রতিপ্রভা,483,158,18941,122.8090669,প্রতিপ্রভা,prot̪iprobʱa,10,13,4,10,10,প্রভা,,,2.4,249.4444473,2.39697384087167,266.906,2.42635833676092,2555,NA,0.1,-1,0.000400890864007619,-3.39697384087167,0.0682772826733903,-0.00644626728327395,-0.0747768593123954,-0.0352491201445293,0.0136576001804518,56.8446239055353
G32,Gramm,G32,9,a,প্রতিশব্দ,439,158,16066,125.2369846,প্রতিশব্দ,prot̪iʃɔbd̪o,10,13,4,9,9,শব্দ,,,2.8,248.0712864,2.39457649873532,260.475,2.41576604670246,4007,NA,0.1,-1,0.000403109934451487,-3.39457649873532,0.0682772826733903,-0.0660492325821932,-0.0748841030223473,0.00517361501432192,-0.0205112879558038,46.2077941725042
F12,Filler,F12,7,a,পুরুষকে,428,200,17376,123.3364671,পুরুষকে,puruʃke,7,7,4,7,7,পুরুষ,,,NA,248.0195471,2.39448591011303,260.421,2.41567600223252,4390,NA,0.1,-1,0.000403194027121099,-3.39448591011303,0.0477940978713732,-0.00451238709829112,0.0600319735860601,0.0340328819933958,-0.0246113634028526,49.6921191327766
F13,Filler,F13,5,a,কাকের,395,160,14445,126.5185315,কাকের,kaker,5,5,4,5,5,কাক,,,NA,245.0197029,2.38920100892247,252.37,2.40203772771625,8047,NA,0.1,-1,0.00040813044345586,-3.38920100892247,0.0341386413366951,-0.00322313364163697,0.149904528851696,0.0898429456888639,-0.0450643095401114,39.7945318506483
C15,CatViol,C15,6,a,দুঃসহজ,417,200,14948,126.6216061,দুঃসহজ,d̪uʃohoɟ,7,8,4,6,6,সহজ,Adj,,NA,243.9145516,2.38723771048621,248.793,2.39583815695069,916,NA,0.1,-1,0.000409979639771521,-3.38723771048621,0.0477940978713732,-0.0641153523972103,0.0599247298761083,0.0773697103718872,-0.0190175684717551,44.998361675414
C16,CatViol,C16,9,a,প্রতিমহান,538,158,20674,126.2361093,প্রতিমহান,prot̪imɔt̪an,10,12,5,9,9,মহান,Adj,,NA,243.0649924,2.38572241379065,255.218,2.40691130102482,1707,NA,0.1,-1,0.000411412597974763,-3.38572241379065,0.0682772826733903,-0.0660492325821932,0.0187623762315997,-0.0483724997387606,-0.0271865007528124,58.2358467211393
